KEY,第1个坐标,第2个坐标,第3个坐标,第4个坐标,第5个坐标
A250,0,0,0,0,0
A251,156-841,182-857,0,0,0
A252,271-897,300-896,0,0,0
A253,392-875,423-864,0,0,0
A254,517-832,546-817,0,0,0
A255,631-779,657-762,0,0,0
A256,737-713,753-689,0,0,0
A257,754-611,733-593,0,0,0
A258,642-591,613-597,0,0,0
A259,528-631,500-641,0,0,0
A260,402-664,371-661,0,0,0
A261,281-636,259-615,0,0,0
A262,209-547,199-522,0,0,0
A263,180-440,184-415,0,0,0
A264,250-364,283-362,0,0,0
A265,374-363,408-370,0,0,0
A266,495-398,527-411,0,0,0
A267,619-445,650-456,0,0,0
A268,742-487,771-495,0,0,0
A269,861-481,878-455,0,0,0
A270,863-366,848-344,0,0,0
A271,780-288,753-272,0,0,0
A272,668-235,639-225,0,0,0
A273,550-201,518-193,0,0,0
A274,425-173,366-131,0,0,0
A275,0,0,0,0,0
A276,153-767,183-779,0,0,0
A277,274-803,308-803,0,0,0
A278,403-795,438-788,0,0,0
A279,523-764,555-758,0,0,0
A280,645-730,676-724,0,0,0
A281,764-699,793-689,0,0,0
A282,832-625,808-607,0,0,0
A283,732-554,717-537,0,0,0
A284,716-460,724-433,0,0,0
A285,768-367,785-346,0,0,0
A286,835-284,845-257,0,0,0
A287,815-187,788-177,0,0,0
A288,703-187,675-197,0,0,0
A289,614-248,599-267,0,0,0
A290,550-331,538-355,0,0,0
A291,501-423,484-445,0,0,0
A292,426-496,404-513,0,0,0
A293,318-537,289-538,0,0,0
A294,203-529,175-520,0,0,0
A295,123-462,119-438,0,0,0
A296,138-365,153-344,0,0,0
A297,205-288,223-270,0,0,0
A298,287-219,305-203,0,0,0
A299,341-141,347-116,0,0,0
A300,0,0,0,0,0
A301,111-660,126-684,0,0,0
A302,201-730,238-730,0,0,0
A303,340-714,379-715,0,0,0
A304,469-741,504-754,0,0,0
A305,587-798,621-811,0,0,0
A306,722-825,769-816,0,0,0
A307,856-771,888-737,0,0,0
A308,905-660,897-629,0,0,0
A309,846-559,813-548,0,0,0
A310,723-536,682-533,0,0,0
A311,593-541,552-543,0,0,0
A312,461-543,422-543,0,0,0
A313,333-536,291-528,0,0,0
A314,201-482,179-458,0,0,0
A315,152-377,153-343,0,0,0
A316,182-267,204-236,0,0,0
A317,267-184,296-167,0,0,0
A318,383-136,425-132,0,0,0
A319,526-123,567-117,0,0,0
A320,667-119,706-127,0,0,0
A321,801-171,832-191,0,0,0
A322,873-271,873-307,0,0,0
A323,815-383,783-402,0,0,0
A324,671-402,637-390,0,0,0
A325,0,0,0,0,0
A326,661-938,631-938,0,0,0
A327,523-927,491-923,0,0,0
A328,373-885,397-898,0,0,0
A329,292-835,270-819,0,0,0
A330,211-754,194-729,0,0,0
A331,177-650,187-618,0,0,0
A332,283-588,314-588,0,0,0
A333,414-588,445-591,0,0,0
A334,540-599,568-597,0,0,0
A335,659-588,687-583,0,0,0
A336,770-548,793-531,0,0,0
A337,848-468,859-442,0,0,0
A338,866-360,857-332,0,0,0
A339,800-269,773-257,0,0,0
A340,687-256,661-269,0,0,0
A341,585-316,565-337,0,0,0
A342,500-398,481-414,0,0,0
A343,400-458,373-466,0,0,0
A344,282-466,253-458,0,0,0
A345,182-403,178-372,0,0,0
A346,198-292,218-269,0,0,0
A347,297-235,328-227,0,0,0
A348,426-212,455-209,0,0,0
A349,542-162,557-138,0,0,0
A350,0,0,0,0,0
A351,122-813,138-834,0,0,0
A352,224-859,254-848,0,0,0
A353,319-789,332-765,0,0,0
A354,397-709,423-691,0,0,0
A355,514-684,546-691,0,0,0
A356,627-730,654-743,0,0,0
A357,738-774,766-770,0,0,0
A358,822-713,826-688,0,0,0
A359,800-614,778-597,0,0,0
A360,694-560,661-550,0,0,0
A361,573-540,538-540,0,0,0
A362,439-538,405-540,0,0,0
A363,308-530,273-526,0,0,0
A364,199-476,194-449,0,0,0
A365,211-370,231-348,0,0,0
A366,308-323,342-320,0,0,0
A367,430-326,463-335,0,0,0
A368,548-379,577-394,0,0,0
A369,676-417,712-417,0,0,0
A370,800-407,818-386,0,0,0
A371,805-307,778-292,0,0,0
A372,685-285,653-283,0,0,0
A373,560-267,531-250,0,0,0
A374,569-219,603-213,0,0,0
A375,0,0,0,0,0
A376,1851-1774,1847-1857,0,0,0
A377,1689-2041,1649-2117,0,0,0
A378,1659-2366,1670-2493,0,0,0
A379,1492-2628,1432-2567,0,0,0
A380,1317-2370,1247-2313,0,0,0
A381,1025-2324,974-2400,0,0,0
A382,847-2586,799-2662,0,0,0
A383,593-2742,497-2723,0,0,0
A384,425-2541,449-2460,0,0,0
A385,489-2260,468-2194,0,0,0
A386,362-2015,309-1940,0,0,0
A387,449-1819,544-1828,0,0,0
A388,802-1861,887-1872,0,0,0
A389,1155-1886,1250-1879,0,0,0
A390,1496-1815,1554-1751,0,0,0
A391,1538-1567,1455-1550,0,0,0
A392,1220-1571,1115-1578,0,0,0
A393,878-1582,788-1571,0,0,0
A394,583-1518,511-1481,0,0,0
A395,389-1329,449-1290,0,0,0
A396,672-1290,761-1300,0,0,0
A397,1011-1300,1094-1300,0,0,0
A398,1312-1243,1386-1198,0,0,0
A399,1563-1083,1632-1043,0,0,0
A400,0,0,0,0,0
A401,475-872,438-863,0,0,0
A402,337-832,313-812,0,0,0
A403,358-743,398-734,0,0,0
A404,510-715,551-709,0,0,0
A405,671-697,710-691,0,0,0
A406,712-647,678-636,0,0,0
A407,566-606,529-590,0,0,0
A408,423-564,385-564,0,0,0
A409,274-568,232-564,0,0,0
A410,231-516,268-499,0,0,0
A411,367-465,406-442,0,0,0
A412,515-403,553-397,0,0,0
A413,665-401,704-406,0,0,0
A414,811-419,846-415,0,0,0
A415,849-359,820-341,0,0,0
A416,730-284,702-268,0,0,0
A417,600-243,564-239,0,0,0
A418,462-233,429-240,0,0,0
A419,339-229,319-209,0,0,0
A420,351-161,385-164,0,0,0
A421,478-151,510-143,0,0,0
A422,590-89,611-69,0,0,0
A423,708-71,735-89,0,0,0
A424,807-144,835-161,0,0,0
A425,0,0,0,0,0
A426,296-705,320-717,0,0,0
A427,401-755,434-768,0,0,0
A428,518-792,550-796,0,0,0
A429,636-790,665-783,0,0,0
A430,746-761,768-745,0,0,0
A431,762-678,736-657,0,0,0
A432,645-631,611-634,0,0,0
A433,518-639,484-634,0,0,0
A434,389-619,357-614,0,0,0
A435,282-563,264-545,0,0,0
A436,229-465,225-435,0,0,0
A437,261-352,285-331,0,0,0
A438,372-317,401-329,0,0,0
A439,479-381,501-395,0,0,0
A440,582-446,608-458,0,0,0
A441,702-465,731-465,0,0,0
A442,801-424,810-403,0,0,0
A443,810-324,793-304,0,0,0
A444,745-239,729-220,0,0,0
A445,655-187,628-180,0,0,0
A446,554-140,533-127,0,0,0
A447,451-112,424-110,0,0,0
A448,341-125,314-133,0,0,0
A449,234-171,207-187,0,0,0
A450,0,0,0,0,0
A451,201-652,212-677,0,0,0
A452,256-746,273-771,0,0,0
A453,355-799,387-788,0,0,0
A454,473-758,509-755,0,0,0
A455,610-752,644-752,0,0,0
A456,687-701,673-668,0,0,0
A457,704-618,740-619,0,0,0
A458,829-605,855-579,0,0,0
A459,869-500,865-471,0,0,0
A460,855-390,853-364,0,0,0
A461,842-279,841-249,0,0,0
A462,834-168,830-143,0,0,0
A463,798-78,769-76,0,0,0
A464,676-75,645-75,0,0,0
A465,598-123,598-151,0,0,0
A466,598-236,598-266,0,0,0
A467,598-349,597-380,0,0,0
A468,549-447,515-456,0,0,0
A469,424-420,418-390,0,0,0
A470,380-316,351-306,0,0,0
A471,263-299,233-299,0,0,0
A472,186-259,195-229,0,0,0
A473,222-147,234-116,0,0,0
A474,312-78,348-80,0,0,0
A475,0,0,0,0,0
A476,635-933,675-933,0,0,0
A477,794-931,837-933,0,0,0
A478,897-887,892-858,0,0,0
A479,858-782,840-753,0,0,0
A480,757-727,718-727,0,0,0
A481,622-721,582-722,0,0,0
A482,475-730,443-731,0,0,0
A483,347-726,311-722,0,0,0
A484,225-686,206-665,0,0,0
A485,170-585,163-555,0,0,0
A486,201-482,232-470,0,0,0
A487,335-463,369-463,0,0,0
A488,467-465,502-466,0,0,0
A489,604-461,635-459,0,0,0
A490,727-443,763-431,0,0,0
A491,837-379,850-352,0,0,0
A492,834-268,813-245,0,0,0
A493,723-207,685-208,0,0,0
A494,591-212,554-213,0,0,0
A495,458-213,424-214,0,0,0
A496,337-196,317-176,0,0,0
A497,306-103,327-74,0,0,0
A498,417-61,458-60,0,0,0
A499,563-61,611-66,0,0,0
A500,0,0,0,0,0
A501,407-844,374-836,0,0,0
A502,273-809,242-797,0,0,0
A503,234-737,256-717,0,0,0
A504,325-666,350-646,0,0,0
A505,445-649,480-655,0,0,0
A506,580-667,616-672,0,0,0
A507,720-680,757-682,0,0,0
A508,837-637,852-610,0,0,0
A509,885-531,895-499,0,0,0
A510,842-458,799-459,0,0,0
A511,697-470,657-475,0,0,0
A512,552-492,513-500,0,0,0
A513,405-517,361-524,0,0,0
A514,266-500,243-477,0,0,0
A515,178-403,158-376,0,0,0
A516,145-288,165-260,0,0,0
A517,232-198,262-172,0,0,0
A518,339-115,369-95,0,0,0
A519,457-58,499-70,0,0,0
A520,528-115,561-143,0,0,0
A521,490-203,463-228,0,0,0
A522,448-296,466-324,0,0,0
A523,558-356,591-344,0,0,0
A524,683-307,711-294,0,0,0
A525,0,0,0,0,0
A526,499-954,467-954,0,0,0
A527,371-938,338-927,0,0,0
A528,250-885,227-865,0,0,0
A529,184-792,176-766,0,0,0
A530,203-690,230-673,0,0,0
A531,314-672,337-686,0,0,0
A532,406-671,426-648,0,0,0
A533,499-599,521-577,0,0,0
A534,585-515,605-488,0,0,0
A535,687-452,721-462,0,0,0
A536,809-433,834-410,0,0,0
A537,908-348,926-311,0,0,0
A538,928-211,916-189,0,0,0
A539,859-115,834-90,0,0,0
A540,751-66,721-82,0,0,0
A541,636-127,602-145,0,0,0
A542,501-145,467-121,0,0,0
A543,377-92,338-100,0,0,0
A544,252-126,224-148,0,0,0
A545,181-219,179-251,0,0,0
A546,215-317,241-332,0,0,0
A547,333-346,368-338,0,0,0
A548,462-318,496-309,0,0,0
A549,594-301,629-300,0,0,0
A550,0,0,0,0,0
A551,314-224,285-242,0,0,0
A552,249-305,262-334,0,0,0
A553,306-409,319-440,0,0,0
A554,339-527,339-561,0,0,0
A555,319-636,295-661,0,0,0
A556,218-701,184-713,0,0,0
A557,122-767,138-799,0,0,0
A558,229-803,264-764,0,0,0
A559,349-773,388-765,0,0,0
A560,485-769,524-778,0,0,0
A561,614-799,655-803,0,0,0
A562,749-807,787-807,0,0,0
A563,874-787,899-757,0,0,0
A564,880-680,862-647,0,0,0
A565,877-580,902-542,0,0,0
A566,889-464,864-460,0,0,0
A567,790-421,765-449,0,0,0
A568,716-520,688-545,0,0,0
A569,603-524,588-492,0,0,0
A570,578-407,579-367,0,0,0
A571,625-293,657-270,0,0,0
A572,748-234,778-213,0,0,0
A573,761-158,720-145,0,0,0
A574,616-145,570-156,0,0,0
A575,0,0,0,0,0
A576,424-873,430-843,0,0,0
A577,460-756,471-726,0,0,0
A578,542-687,581-686,0,0,0
A579,583-769,587-805,0,0,0
A580,640-850,683-849,0,0,0
A581,735-797,735-767,0,0,0
A582,739-680,781-683,0,0,0
A583,884-685,917-685,0,0,0
A584,955-633,950-603,0,0,0
A585,940-522,930-494,0,0,0
A586,881-427,859-409,0,0,0
A587,786-353,758-331,0,0,0
A588,670-309,640-326,0,0,0
A589,564-384,535-406,0,0,0
A590,457-459,451-488,0,0,0
A591,439-566,433-595,0,0,0
A592,329-594,298-595,0,0,0
A593,213-596,181-600,0,0,0
A594,82-600,95-561,0,0,0
A595,130-479,140-450,0,0,0
A596,182-380,214-380,0,0,0
A597,307-380,345-378,0,0,0
A598,361-299,365-263,0,0,0
A599,392-212,428-209,0,0,0
A600,0,0,0,0,0
A601,456-871,487-859,0,0,0
A602,585-823,617-810,0,0,0
A603,710-780,741-762,0,0,0
A604,816-715,836-688,0,0,0
A605,847-605,819-586,0,0,0
A606,722-592,689-605,0,0,0
A607,600-638,566-647,0,0,0
A608,467-663,428-665,0,0,0
A609,335-649,305-640,0,0,0
A610,223-602,201-579,0,0,0
A611,147-515,136-488,0,0,0
A612,134-411,138-381,0,0,0
A613,170-309,189-283,0,0,0
A614,246-228,268-210,0,0,0
A615,347-165,376-147,0,0,0
A616,462-117,495-109,0,0,0
A617,592-101,626-101,0,0,0
A618,713-123,742-136,0,0,0
A619,818-178,840-194,0,0,0
A620,887-260,896-291,0,0,0
A621,885-372,864-393,0,0,0
A622,790-438,758-448,0,0,0
A623,663-464,623-460,0,0,0
A624,541-419,521-401,0,0,0
A625,0,0,0,0,0
A626,208-740,234-755,0,0,0
A627,316-789,345-799,0,0,0
A628,428-831,457-842,0,0,0
A629,545-858,580-859,0,0,0
A630,672-853,707-847,0,0,0
A631,790-825,820-814,0,0,0
A632,874-749,860-723,0,0,0
A633,787-676,758-670,0,0,0
A634,672-658,637-656,0,0,0
A635,550-649,515-642,0,0,0
A636,425-621,393-612,0,0,0
A637,309-582,275-569,0,0,0
A638,212-518,211-489,0,0,0
A639,272-439,302-428,0,0,0
A640,384-408,416-410,0,0,0
A641,499-431,531-437,0,0,0
A642,617-458,651-466,0,0,0
A643,744-477,780-478,0,0,0
A644,871-449,890-421,0,0,0
A645,892-339,880-307,0,0,0
A646,812-252,781-239,0,0,0
A647,695-208,661-200,0,0,0
A648,569-185,531-179,0,0,0
A649,438-150,416-131,0,0,0
A650,0,0,0,0,0
A651,228-789,247-757,0,0,0
A652,295-696,318-673,0,0,0
A653,424-634,467-630,0,0,0
A654,562-635,603-643,0,0,0
A655,728-681,765-689,0,0,0
A656,851-692,885-678,0,0,0
A657,906-612,888-585,0,0,0
A658,825-530,799-506,0,0,0
A659,696-450,628-441,0,0,0
A660,520-445,477-451,0,0,0
A661,384-487,350-504,0,0,0
A662,262-541,233-557,0,0,0
A663,141-560,115-541,0,0,0
A664,90-466,97-433,0,0,0
A665,147-372,172-350,0,0,0
A666,244-307,275-295,0,0,0
A667,376-277,408-274,0,0,0
A668,498-268,532-268,0,0,0
A669,622-275,657-283,0,0,0
A670,746-306,776-316,0,0,0
A671,862-335,889-316,0,0,0
A672,860-244,836-224,0,0,0
A673,857-180,889-160,0,0,0
A674,875-98,840-88,0,0,0
A675,0,0,0,0,0
A676,228-895,261-882,0,0,0
A677,346-844,381-830,0,0,0
A678,468-795,502-781,0,0,0
A679,584-749,615-740,0,0,0
A680,700-717,733-711,0,0,0
A681,811-656,832-634,0,0,0
A682,829-511,809-528,0,0,0
A683,724-509,693-513,0,0,0
A684,610-542,582-550,0,0,0
A685,493-576,460-584,0,0,0
A686,368-602,331-604,0,0,0
A687,242-593,212-583,0,0,0
A688,155-518,151-487,0,0,0
A689,191-413,213-392,0,0,0
A690,291-347,320-338,0,0,0
A691,406-319,439-318,0,0,0
A692,527-325,558-332,0,0,0
A693,640-357,672-366,0,0,0
A694,761-386,797-388,0,0,0
A695,867-342,861-308,0,0,0
A696,808-240,780-224,0,0,0
A697,703-184,678-172,0,0,0
A698,595-150,564-143,0,0,0
A699,475-131,444-127,0,0,0
A700,0,0,0,0,0
A701,902-714,880-727,0,0,0
A702,787-761,751-770,0,0,0
A703,654-773,618-770,0,0,0
A704,528-750,493-742,0,0,0
A705,373-705,408-715,0,0,0
A706,284-668,255-658,0,0,0
A707,197-592,197-568,0,0,0
A708,272-530,301-530,0,0,0
A709,391-541,425-548,0,0,0
A710,528-564,562-568,0,0,0
A711,668-564,705-557,0,0,0
A712,783-510,811-485,0,0,0
A713,836-401,836-371,0,0,0
A714,836-288,800-272,0,0,0
A715,705-283,669-292,0,0,0
A716,579-308,538-313,0,0,0
A717,451-330,417-338,0,0,0
A718,327-363,293-371,0,0,0
A719,197-378,172-354,0,0,0
A720,172-283,197-268,0,0,0
A721,280-237,314-226,0,0,0
A722,400-201,433-193,0,0,0
A723,519-175,553-162,0,0,0
A724,636-116,656-97,0,0,0
A725,0,0,0,0,0
A726,840-775,819-806,0,0,0
A727,738-850,694-858,0,0,0
A728,556-855,599-858,0,0,0
A729,451-837,416-824,0,0,0
A730,315-783,286-760,0,0,0
A731,244-680,258-648,0,0,0
A732,332-594,364-582,0,0,0
A733,460-551,492-545,0,0,0
A734,595-535,631-531,0,0,0
A735,731-517,764-514,0,0,0
A736,855-489,886-476,0,0,0
A737,915-401,888-379,0,0,0
A738,791-364,754-361,0,0,0
A739,661-367,624-372,0,0,0
A740,496-395,531-388,0,0,0
A741,404-429,372-438,0,0,0
A742,276-466,237-466,0,0,0
A743,144-438,136-408,0,0,0
A744,178-333,204-315,0,0,0
A745,295-279,330-272,0,0,0
A746,418-255,455-249,0,0,0
A747,543-236,580-229,0,0,0
A748,627-179,614-154,0,0,0
A749,529-120,496-117,0,0,0
A750,0,0,0,0,0
A751,470-800,502-816,0,0,0
A752,604-852,648-860,0,0,0
A753,747-844,776-816,0,0,0
A754,751-733,722-707,0,0,0
A755,627-663,587-651,0,0,0
A756,480-635,430-631,0,0,0
A757,327-643,283-647,0,0,0
A758,171-651,129-627,0,0,0
A759,89-548,89-510,0,0,0
A760,138-438,167-422,0,0,0
A761,265-398,308-398,0,0,0
A762,399-430,429-450,0,0,0
A763,513-512,544-532,0,0,0
A764,644-524,672-504,0,0,0
A765,738-442,764-422,0,0,0
A766,839-371,869-347,0,0,0
A767,924-287,941-251,0,0,0
A768,928-170,911-146,0,0,0
A769,825-106,785-102,0,0,0
A770,700-110,661-118,0,0,0
A771,578-154,553-178,0,0,0
A772,561-259,569-299,0,0,0
A773,486-331,446-323,0,0,0
A774,366-275,341-255,0,0,0
A775,0,0,0,0,0
A776,831-889,793-872,0,0,0
A777,698-829,654-813,0,0,0
A778,552-787,508-777,0,0,0
A779,409-753,369-740,0,0,0
A780,273-700,238-686,0,0,0
A781,178-624,169-592,0,0,0
A782,239-538,274-532,0,0,0
A783,369-540,405-551,0,0,0
A784,503-580,541-591,0,0,0
A785,630-609,666-611,0,0,0
A786,756-606,793-600,0,0,0
A787,879-577,906-554,0,0,0
A788,913-475,892-454,0,0,0
A789,817-389,785-367,0,0,0
A790,696-331,660-323,0,0,0
A791,566-309,529-306,0,0,0
A792,441-309,403-311,0,0,0
